,Escherichia coli (E. coli),Coliforms (CFU 100 mL,Heterotrophic plate count (CFU mL),pH,Hardness (mg L,Total iron (mg L,Dissolved organic carbon (mg L)
0,4,147,1.9 103,7.7,30,0.03,0.61
1,200,,6.2 103,7.4,3,0.02,0.32
2,0,0,6.4 102,7.6,6,0.16,0.5
3,0,2,1.0 105,7.7,2,0.01,0.38
4,65,75,1.2 102,8,2,0.03,0.34
5,7,14,1.4 103,7.4,10,0.03,0.56
6,2,2,1.5 102,8.4,2,0.03,1.38
